X.1,lat,long,checkins,address,name,station_info,X,url_location,locationIDs
144,41.386896,2.144457,All Checkins (0),"https://www.google.com/maps/dir//Carrer de París, 58, 60, 08029 Barcelona, Spain","Nissan Motor Llansà | Barcelona, CT | EV Station",CHAdeMO 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableOplaadpalen Non-networked,76270,https://www.plugshare.com/location/25051,25051
145,41.399727,2.02543,All Checkins (1),"https://www.google.com/maps/dir//Carrer Ramon i Cajal, 20, 08750 Molins de Rei, Barcelona, Spain","Nissan - Otto Diesel | Molins de Rei, CT | EV Station",CHAdeMO 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableOplaadpalen Non-networked,76288,https://www.plugshare.com/location/25055,25055
151,41.355033,2.142924,All Checkins (2),"https://www.google.com/maps/dir//Passeig de la Zona Franca, 66.B, 08038 Barcelona, Barcelona, Spain","MOTOR LLANSA | Barcelona, CT | EV Station",CHAdeMO 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableOplaadpalen Non-networked,76499,https://www.plugshare.com/location/25101,25101
293,41.305738,-72.927422,All Checkins (60),"https://www.google.com/maps/dir//155 Temple Street, New Haven Connecticut 06510","Chapel Square Garage - Omni New Haven Hotel | New Haven, CT | EV Station",Tesla (Roadster) 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,101805,https://www.plugshare.com/location/302,302
514,41.87965,-72.72989,All Checkins (8),"https://www.google.com/maps/dir//1 Griffin Rd N, Windsor Connecticut  06095","Hartford Life | Windsor, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,33774,https://www.plugshare.com/location/1665,1665
656,41.997541,-72.574467,All Checkins (62),"https://www.google.com/maps/dir//10 Palomba Dr, Enfield, CT 06082, USA","Lia Nissan of Enfield | Enfield, CT | EV Station",J-1772 3 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CCS1 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableInCharge Non-networked CHAdeMO 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableInCharge Non-networked,44947,https://www.plugshare.com/location/1880,1880
663,41.590546597481,-72.6761618256569,All Checkins (200),"https://www.google.com/maps/dir//1153-1223 CT-3, Middletown, CT 06457, USA","Middletown Nissan | Middletown, CT | EV Station",J-1772 3 Plugs  kW 3 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CHAdeMO 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableInCharge Non-networked CCS1 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableInCharge Non-networked,45350,https://www.plugshare.com/location/1888,1888
664,41.4673,-72.81785,All Checkins (273),"https://www.google.com/maps/dir//505 N Colony Rd, Wallingford, CT 06492, USA","Barberino Nissan Parts | Wallingford, CT | EV Station",CHAdeMO 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CCS1 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,45399,https://www.plugshare.com/location/1889,1889
665,41.2096939643299,-73.0837849791679,All Checkins (38),"https://www.google.com/maps/dir//688 Bridgeport Ave, Milford, CT 06460, USA","Napoli Nissan | Milford, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CCS1 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableInCharge Non-networked CHAdeMO 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableInCharge Non-networked,45543,https://www.plugshare.com/location/1892,1892
1028,41.672219,-72.858278,All Checkins (105),"https://www.google.com/maps/dir//41 Woodford Ave, Plainville, CT 06062, USA","GE Energy | Plainville, CT | EV Station",J-1772 10 Plugs 7.2 kW 10 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,124424,https://www.plugshare.com/location/3440,3440
1256,41.2756143416356,-73.1309028796234,All Checkins (14),"https://www.google.com/maps/dir//15 Progress Drive, Shelton, CT, 06484","Lex Products | Shelton, CT | EV Station",Wall 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableChargePoint Non-networked J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableChargePoint Non-networked,162651,https://www.plugshare.com/location/4131,4131
1848,41.309288,-72.383092,All Checkins (228),"https://www.google.com/maps/dir//295 Middlesex Turnpike, Old Saybrook, CT 06475, USA","Grossman Nissan | Old Saybrook, CT | EV Station",J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CHAdeMO 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableInCharge Non-networked CCS1 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableInCharge Non-networked,250204,https://www.plugshare.com/location/5803,5803
1883,41.298341,-72.925941,All Checkins (74),"https://www.google.com/maps/dir//40 Union Ave, New Haven, CT 06519, USA","New Haven Union Station | New Haven, CT | EV Station",J-1772 12 Plugs 6.48 kW 6 Stationscheck_circle2 Availableaccount_circle10 In Useremove_circle0 UnavailableChargePoint Non-networked,256069,https://www.plugshare.com/location/5962,5962
1884,41.303951,-72.928947,All Checkins (98),"https://www.google.com/maps/dir//40 Temple St, New Haven 06510","Temple Street Garage | New Haven, CT | EV Station",J-1772 4 Plugs 6.48 kW 2 Stationscheck_circle0 Availableaccount_circle4 In Useremove_circle0 UnavailableChargePoint Non-networked,256093,https://www.plugshare.com/location/5963,5963
1885,41.305223,-72.933971,All Checkins (63),"https://www.google.com/maps/dir//60 York St, New Haven 06511","Air Rights Garage | New Haven, CT | EV Station",J-1772 5 Plugs 6.48 kW 3 Stationscheck_circle1 Availableaccount_circle3 In Useremove_circle0 UnavailableChargePoint Non-networked,256117,https://www.plugshare.com/location/5964,5964
2302,41.14314,-73.26404,All Checkins (75),"https://www.google.com/maps/dir//140 Mill Plain Rd, Fairfield, CT 06824, USA","Mill Plain Commuter Lot | Fairfield, CT | EV Station",J-1772 3 Plugs 13.3 kW 3 Stationscheck_circle2 Availableaccount_circle0 In Useremove_circle1 UnavailableAmpUp Non-networked,304354,https://www.plugshare.com/location/7010,7010
2409,41.140614,-73.256798,All Checkins (149),"https://www.google.com/maps/dir//1451 Post Rd., Fairfield, CT, 06824","Sherman Town Green | Fairfield, CT | EV Station",J-1772 3 Plugs 13.3 kW 3 Stationscheck_circle2 Availableaccount_circle0 In Useremove_circle1 UnavailableAmpUp Non-networked,314356,https://www.plugshare.com/location/7248,7248
2574,41.05422,-73.541608,All Checkins (91),"https://www.google.com/maps/dir//100 Summer St., Stamford, CT, 06901","Summer Street Garage | Stamford, CT | EV Station",J-1772 3 Plugs  kW 3 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,325109,https://www.plugshare.com/location/7621,7621
2580,41.051667,-73.542959,All Checkins (70),"https://www.google.com/maps/dir//888 Washington Blvd, Stamford, CT 06901","Stamford Government Center Garage | Stamford, CT | EV Station",J-1772 3 Plugs  kW 3 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,388823,https://www.plugshare.com/location/7638,7638
2641,41.072695,-73.476791,All Checkins (11),"https://www.google.com/maps/dir//138-142 Ledge Rd, Darien 06820","BMW of Darien | Darien, CT | EV Station",J-1772 2 Plugs 6.48 kW 1 Stationcheck_circle2 Availableaccount_circle0 In Useremove_circle0 UnavailableChargePoint Non-networked,326780,https://www.plugshare.com/location/7813,7813
2849,41.070862,-73.54882,All Checkins (0),"https://www.google.com/maps/dir//3001 Summer St Stamford, CT 06905","Stanford Square Associates | Stamford, CT | EV Station",J-1772 1 Plug 7.2 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,330230,https://www.plugshare.com/location/8249,8249
2878,41.144989,-73.428673,All Checkins (2),"https://www.google.com/maps/dir//901 Main Ave, Norwalk, CT, 06851","General Electric Capital - Employee Parking | Norwalk, CT | EV Station",J-1772 2 Plugs 7.2 kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,389677,https://www.plugshare.com/location/8310,8310
2889,41.803465,-73.121064,All Checkins (196),"https://www.google.com/maps/dir//140 Main St, Torrington, CT 06790, USA","Torrington City Hall | Torrington, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,330871,https://www.plugshare.com/location/8346,8346
2890,41.635849,-73.208794,All Checkins (6),"https://www.google.com/maps/dir//74 Main St, Bethlehem, CT, 06751","Painted Pony Restaurant | Bethlehem, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,330888,https://www.plugshare.com/location/8348,8348
2920,41.728375,-72.188792,All Checkins (11),https://www.google.com/maps/dir//143 Boston Post Rd North Windham CT,"Gates GMC Nissan - Service | Windham, CT | EV Station",J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,331752,https://www.plugshare.com/location/8470,8470
3007,41.371395,-72.056503,All Checkins (17),"https://www.google.com/maps/dir//425 Gold Star Hwy, Groton, CT 06340","Girard Nissan | Groton, CT | EV Station",J-1772 3 Plugs  kW 3 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,332900,https://www.plugshare.com/location/8746,8746
3025,41.758869,-72.744766,All Checkins (217),"https://www.google.com/maps/dir//105 Lasalle Rd., West Hartford, CT 06107","Arapahoe Parking Lot | West Hartford, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333259,https://www.plugshare.com/location/8834,8834
3080,41.811322,-72.262214,All Checkins (31),"https://www.google.com/maps/dir//31 LeDoyt Rd, Storrs, CT 06268, USA","University of CT - Motor Pool | Mansfield, CT | EV Station",J-1772 2 Plugs 6.48 kW 1 Stationcheck_circle2 Availableaccount_circle0 In Useremove_circle0 UnavailableChargePoint Non-networked,333773,https://www.plugshare.com/location/8974,8974
3081,41.86762,-71.89246,All Checkins (0),"https://www.google.com/maps/dir//8 Tracy Road, Dayville, CT 06241, USA","The Gold Eagle at The Laurel House | Killingly, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333801,https://www.plugshare.com/location/8979,8979
3082,41.52779,-72.063652,All Checkins (55),"https://www.google.com/maps/dir//169 N Main St, Norwich, CT 06360, USA","Norwich Public Utilities | Norwich, CT | EV Station",J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333808,https://www.plugshare.com/location/8981,8981
3083,41.43232,-72.222226,All Checkins (3),"https://www.google.com/maps/dir//1650 Hartford-New London Turnpike, Oakdale, CT 06370, USA","Dinosaur Place Park & Museum | Montville, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333813,https://www.plugshare.com/location/8982,8982
3084,41.916508,-71.90815,All Checkins (109),"https://www.google.com/maps/dir//23 Livery St, Putnam, CT 06260","Cargill Chevrolet | Putnam, CT | EV Station",J-1772 3 Plugs  kW 3 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333818,https://www.plugshare.com/location/8983,8983
3132,41.386823,-72.436659,All Checkins (69),"https://www.google.com/maps/dir//150 Main Street, Deep River, CT, 06417","Deep River Public Library | Deep River, CT | EV Station",J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableLoop Non-networked,334449,https://www.plugshare.com/location/9136,9136
3135,41.841489,-71.880938,All Checkins (2),"https://www.google.com/maps/dir//1094 Killingly Commons Drive, Dayville, CT 06241, USA","Killingly Commons - Stop & Shop | Killingly, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,334496,https://www.plugshare.com/location/9151,9151
3179,41.146497,-73.492229,All Checkins (66),"https://www.google.com/maps/dir//1 Morse Ct, New Canaan, CT 06840","Morse Court Public Parking Lot | New Canaan, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,335444,https://www.plugshare.com/location/9336,9336
3181,41.943916,-71.972717,All Checkins (7),"https://www.google.com/maps/dir//94 Plaine Hill Rd, Woodstock, CT 06281, USA","The Inn at Woodstock Hill (1) | Woodstock, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,335478,https://www.plugshare.com/location/9342,9342
3227,41.846451,-72.014702,All Checkins (0),"https://www.google.com/maps/dir//728 Hampton Rd, Pomfret Center, CT 06259, USA","We Lik It Ice Cream | Pomfret, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,336002,https://www.plugshare.com/location/9452,9452
3318,41.859909,-71.960835,All Checkins (0),"https://www.google.com/maps/dir//20 Pomfret St, Pomfret Center, CT 06259, USA","Pomfret Community School | Pomfret, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,336915,https://www.plugshare.com/location/9642,9642
3324,41.858525,-71.961165,All Checkins (1),"https://www.google.com/maps/dir//24 Mashamoquet Rd, Pomfret Center, CT 06259, USA","Baker's Dozen | Pomfret, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,336962,https://www.plugshare.com/location/9654,9654
3330,41.192861,-73.431267,All Checkins (40),"https://www.google.com/maps/dir//137 Old Ridgefield Rd, Wilton, CT 06897","Wilton Public Library | Wilton, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,337015,https://www.plugshare.com/location/9666,9666
3371,41.791307,-71.935484,All Checkins (0),"https://www.google.com/maps/dir//87 Prince Hill Road, Brooklyn, CT 06234, USA","Prince Hill Park | Brooklyn, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,337600,https://www.plugshare.com/location/9789,9789
3372,41.840121,-71.879683,All Checkins (0),"https://www.google.com/maps/dir//1150 Killingly Commons Drive, Dayville, CT 06241, USA","Killingly Commons - Lowe's | Killingly, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,337607,https://www.plugshare.com/location/9790,9790
3373,41.84548,-71.88214,All Checkins (0),"https://www.google.com/maps/dir//Owen Bell Park, 580 Hartford Pike, Dayville, CT 06241, USA","Owen Bell Park | Killingly, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,337614,https://www.plugshare.com/location/9791,9791
3374,41.84492,-71.88256,All Checkins (2),"https://www.google.com/maps/dir//Route 101, Dayville, CT 06241, USA","Owen Bell/Jewitt City Savings Bank | Killingly, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,337617,https://www.plugshare.com/location/9792,9792
3375,41.768745,-72.682436,All Checkins (22),"https://www.google.com/maps/dir//2 Spruce St, Hartford, CT 06103, USA","Hartford Union Station - Spruce St Lot | Hartford, CT | EV Station",J-1772 4 Plugs 7.6 - 13.3 kW 4 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle4 UnavailableAmpUp Non-networked,337672,https://www.plugshare.com/location/9803,9803
3376,41.769202,-72.672655,All Checkins (0),"https://www.google.com/maps/dir//Morgan Street, Hartford, CT 06103, USA","Morgan St Parking | East Hartford, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,337686,https://www.plugshare.com/location/9806,9806
3391,41.58234,-73.40961,All Checkins (2),"https://www.google.com/maps/dir//19 Poplar St, New Milford, CT 06776, USA","New Milford Hospital | New Milford, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,337829,https://www.plugshare.com/location/9835,9835
3419,41.283932,-72.351318,All Checkins (57),"https://www.google.com/maps/dir//2 Bridge St Old Saybrook, CT 06475","Saybrook Point Inn & Spa | Old Saybrook, CT | EV Station",J-1772 6 Plugs  kW 6 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableAmpUp Non-networked,338183,https://www.plugshare.com/location/9913,9913
3481,41.917715,-71.90983,All Checkins (0),"https://www.google.com/maps/dir//211 Kennedy Drive, Putnam, CT 06260, USA","R.B. Steele Bldg/Bank of America | Putnam, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,284,https://www.plugshare.com/location/10068,10068
3482,41.917668,-71.909126,All Checkins (1),"https://www.google.com/maps/dir//207 Kennedy Dr, Putnam, CT 06260, USA","Verizon/China Star | Putnam, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,338655,https://www.plugshare.com/location/10069,10069
3487,41.936401,-71.958206,All Checkins (1),"https://www.google.com/maps/dir//243-245 Norwich Worcester Turnpike, Woodstock, CT 06281, USA","Java Jive Cafe | Woodstock, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,380,https://www.plugshare.com/location/10086,10086
3523,41.7984240032146,-71.9061507521496,All Checkins (37),"https://www.google.com/maps/dir//512 Providence Rd, Brooklyn, CT 06234, USA","Vachon Chevrolet - Service | Brooklyn, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,740,https://www.plugshare.com/location/10156,10156
3527,41.842464,-71.882042,All Checkins (6),"https://www.google.com/maps/dir//1068 Killingly Commons Drive, Dayville, CT 06241, USA","Killingly Commons - 99 Restaurants | Killingly, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,797,https://www.plugshare.com/location/10168,10168
3542,41.792442,-72.059242,All Checkins (0),"https://www.google.com/maps/dir//380 Main St, Hampton, CT 06247, USA","Hampton Elementary School | Hampton, CT | EV Station",Wall 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,972,https://www.plugshare.com/location/10203,10203
3642,41.996918,-72.582382,All Checkins (17),"https://www.google.com/maps/dir//90 Elm St, Enfield, CT, 06082","Figaro Ristorante | Enfield, CT | EV Station",J-1772 2 Plugs  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,3748,https://www.plugshare.com/location/10625,10625
